Reference area,TIME_PERIOD,OBS_VALUE
Sweden,2007,741
Sweden,2006,728
Sweden,2005,729
Sweden,2004,731
Sweden,2003,729
Sweden,2002,730
Sweden,2001,715
Sweden,2000,716
Sweden,2009,739
Sweden,2008,743
Sweden,1996,682
Sweden,1995,686
Slovenia,2001,44.819
Slovenia,2000,44.013
Slovenia,1999,44.413
Slovenia,2022,75.514
Slovenia,2021,73.201
Slovenia,2020,69.637
Slovenia,2019,67.217
Slovenia,2018,65.516
Slovenia,2017,63.656
Slovenia,2016,61.681
Slovenia,2015,59.356
Slovenia,2014,58.148
Slovenia,2013,57.681
Slovenia,2012,57.453
Slovenia,1996,43.319
Slovenia,1995,43.603
Slovenia,2009,53.617
Slovenia,2008,52.373
Slovenia,2007,51.018
Slovenia,2006,50.219
Slovenia,2005,49.488
Slovenia,2004,48.156
Slovenia,2003,46.988
Slovenia,2002,46.028
Slovenia,2011,55.898
Slovenia,2010,54.798
Slovenia,1998,42.927
Slovenia,1997,43.145
Denmark,1986,394
Denmark,1985,388
Denmark,1984,379
Denmark,1983,386
Denmark,1982,383
Denmark,1981,363
Denmark,2022,565
Denmark,2021,556
Denmark,2020,532
Denmark,2019,524
Denmark,2018,518
Denmark,2017,511
Denmark,2016,506
Denmark,2015,506
Denmark,2014,508
Denmark,2013,511
Denmark,2012,507
Denmark,2011,513
Denmark,2010,523
Denmark,2009,520
Denmark,2008,506
Denmark,2007,507
Denmark,1972,213
Denmark,1971,187
Denmark,1970,165
Denmark,2004,493
Denmark,2003,494
Denmark,2002,491
Denmark,2001,487
Denmark,2000,477
Denmark,1999,472
Denmark,1998,469
Denmark,1997,456
Denmark,1996,444
Denmark,1995,438
Denmark,1994,441
Denmark,1993,440
Denmark,1992,442
Denmark,1991,440
Denmark,1990,444
Denmark,1989,429
Denmark,1988,427
Denmark,1987,406
Denmark,1967,136
Denmark,1966,127
Denmark,1980,351
Denmark,1979,330
Denmark,1978,307
Denmark,1977,286
Denmark,1976,277
Denmark,1975,266
Denmark,1974,251
Denmark,1973,230
Denmark,2006,504
Denmark,2005,497
Denmark,1969,153
Denmark,1968,144
Israel,2001,235.544277
Israel,2000,220.444091
Israel,1999,216.832069
Israel,2022,505.629989
Israel,2021,474.916471
Israel,2020,476.896081
Israel,2019,457.217758
Israel,2018,443.767018
Israel,2017,428.854832
Israel,2016,417.908856
Israel,2015,411.076883
Israel,2014,395.606145
Israel,2013,369.100867
Israel,2012,354.290205
Israel,1996,182.986567
Israel,1995,175.042993
Israel,2009,299.695343
Israel,2008,289.399896
Israel,2007,279.230092
Israel,2006,275.055705
Israel,2005,277.775847
Israel,2004,267.317263
Israel,2003,260.148746
Israel,2002,243.888403
Israel,2011,320.906178
Israel,2010,314.61987
Israel,1998,205.6
Israel,1997,187.215347
Czechia,2001,259.239
Czechia,2000,255.917
Czechia,1999,248.134
Czechia,2022,385.529
Czechia,2021,376.92
Czechia,2020,369.137
Czechia,2019,356.553
Czechia,2018,353.862
Czechia,2017,344.418
Czechia,2016,335.081
Czechia,2015,326.733
Czechia,2014,323.946
Czechia,2013,316.588
Czechia,2012,314.322
Czechia,1996,271.164
Czechia,1995,285.151
Czechia,2009,301.079
Czechia,2008,295.234
Czechia,2007,283.744
Czechia,2006,278.575
Czechia,2005,272.53
Czechia,2004,264.849
Czechia,2003,274.177
Czechia,2002,266.324
Czechia,2011,309.353
Czechia,2010,299.371
Czechia,1998,250.583
Czechia,1997,261.485
Greece,2001,180.072
Greece,2000,180.829
Greece,1999,185.705
Greece,2022,288.496
Greece,2021,283.3
Greece,2020,281.871
Greece,2019,268.66
Greece,2018,259.068
Greece,2017,251.215
Greece,2016,252.885
Greece,2015,243.794
Greece,2014,249.393
Greece,2013,244.71
Greece,2012,239.261
Greece,1996,169.279
Greece,1995,161.858
Greece,2009,231.592
Greece,2008,232.87
Greece,2007,236.083
Greece,2006,221.908
Greece,2005,215.308
Greece,2004,218.091
Greece,2003,188.795
Greece,2002,186.154
Greece,2011,238.196
Greece,2010,239.857
Greece,1998,181.41
Greece,1997,168.776
Australia,1996,759.433513
Australia,1995,759.164539
Australia,1994,734.587402
Australia,2017,1672.875444
Australia,2016,1632.661236
Australia,2015,1567.955841
Australia,2014,1478.711228
Australia,2013,1383.774093
Australia,2012,1372.07321
Australia,2011,1331.55239
Australia,2010,1266.93091
Australia,2009,1210.900315
Australia,2008,1191.971631
Australia,2007,1101.138474
Australia,1991,674.163353
Australia,1990,685.340457
Australia,2004,977.124788
Australia,2003,951.504036
Australia,2002,910.039687
Australia,2001,901.779226
Australia,2000,892.513976
Australia,1999,841.233715
Australia,1998,797.869854
Australia,1997,805.051825
Australia,2006,1075.870565
Australia,2005,1061.75322
Australia,1993,713.662501
Australia,1992,679.329037
Canada,2003,1603.585
Canada,2002,1556.605
Canada,2001,1509.77
Canada,2023,2557.445
Canada,2022,2480.145
Canada,2021,2389.225
Canada,2020,2211.94
Canada,2019,2243.115
Canada,2018,2180.955
Canada,2017,2128.21
Canada,2016,2088.88
Canada,2015,2046.565
Canada,2014,1987.3
Canada,1998,1376.83
Canada,1997,1336.015
Canada,2011,1900.255
Canada,2010,1866.81
Canada,2009,1829.985
Canada,2008,1796.155
Canada,2007,1753.89
Canada,2006,1668.245
Canada,2005,1626.29
Canada,2004,1619.965
Canada,2013,1960.06
Canada,2012,1920.395
Canada,2000,1479.745
Canada,1999,1422.69
Austria,2001,312.28
Austria,2000,301.24
Austria,1999,297.65
Austria,2022,503.07
Austria,2021,493.9
Austria,2020,474.48
Austria,2019,466.49
Austria,2018,465.82
Austria,2017,457.38
Austria,2016,446.34
Austria,2015,438.54
Austria,2014,425.86
Austria,2013,419.94
Austria,2012,414.7
Austria,1996,284.29
Austria,1995,275.88
Austria,2009,386.71
Austria,2008,374.01
Austria,2007,365.15
Austria,2006,356.84
Austria,2005,346.2
Austria,2004,338.48
Austria,2003,330.02
Austria,2002,321.3
Austria,2011,407.28
Austria,2010,400.25
Austria,1998,297.14
Austria,1997,292.57
European Union (27 countries from 01/02/2020),2001,15749.332901
European Union (27 countries from 01/02/2020),2000,15679.190125
European Union (27 countries from 01/02/2020),1999,15361.454153
European Union (27 countries from 01/02/2020),2022,22711.106928
European Union (27 countries from 01/02/2020),2021,22668.886996
European Union (27 countries from 01/02/2020),2020,22093.764057
European Union (27 countries from 01/02/2020),2019,21759.865995
European Union (27 countries from 01/02/2020),2018,21412.964269
European Union (27 countries from 01/02/2020),2017,21070.101812
European Union (27 countries from 01/02/2020),2016,20712.5884
European Union (27 countries from 01/02/2020),2015,20281.988481
European Union (27 countries from 01/02/2020),2014,19918.951827
European Union (27 countries from 01/02/2020),2013,19595.569261
European Union (27 countries from 01/02/2020),2012,19348.377053
European Union (27 countries from 01/02/2020),1996,14615.923747
European Union (27 countries from 01/02/2020),1995,14316.930397
European Union (27 countries from 01/02/2020),2009,18523.78043
European Union (27 countries from 01/02/2020),2008,18099.723637
European Union (27 countries from 01/02/2020),2007,17753.603277
European Union (27 countries from 01/02/2020),2006,17467.099649
European Union (27 countries from 01/02/2020),2005,17091.78642
European Union (27 countries from 01/02/2020),2004,16794.498726
European Union (27 countries from 01/02/2020),2003,16473.815037
European Union (27 countries from 01/02/2020),2002,16153.114044
European Union (27 countries from 01/02/2020),2011,19162.432154
European Union (27 countries from 01/02/2020),2010,18856.337181
European Union (27 countries from 01/02/2020),1998,15120.430638
European Union (27 countries from 01/02/2020),1997,14863.73032
Germany,2001,4146
Germany,2000,4136
Germany,1999,4017
Germany,2022,6360
Germany,2021,6273
Germany,2020,6143
Germany,2019,6038
Germany,2018,5924
Germany,2017,5812
Germany,2016,5681
Germany,2015,5493
Germany,2014,5317
Germany,2013,5192
Germany,2012,5086
Germany,1996,3752
Germany,1995,3603
Germany,2009,4755
Germany,2008,4613
Germany,2007,4518
Germany,2006,4467
Germany,2005,4448
Germany,2004,4389
Germany,2003,4316
Germany,2002,4268
