Reference area,TIME_PERIOD,OBS_VALUE
Lithuania,2012,85.478
Lithuania,1996,98.715
Lithuania,1995,99.45
Lithuania,2009,87.14
Lithuania,2008,88.927
Lithuania,2007,94.502
Lithuania,2006,98.04
Lithuania,2005,94.745
Lithuania,2004,97.618
Lithuania,2003,96.846
Lithuania,2002,92.496
Lithuania,2011,87.363
Lithuania,2010,87.619
Lithuania,1998,100.203
Lithuania,1997,99.316
Russia,2018,4404
Russia,2017,4450.3
Russia,2019,4400
Korea,2014,1708.5
Korea,2013,1565.5
Korea,2022,2714.2
Korea,2021,2534
Korea,2020,2336.3
Korea,2019,2206
Korea,2018,2046.2
Korea,2017,1921.3
Korea,2016,1860.8
Korea,2015,1781
Euro area (20 countries),2001,12823.293436
Euro area (20 countries),2000,12672.534339
Euro area (20 countries),1999,12396.405388
Euro area (20 countries),2022,19139.40661
Euro area (20 countries),2021,18813.696451
Euro area (20 countries),2020,18389.924747
Euro area (20 countries),2019,18106.693825
Euro area (20 countries),2018,17793.892793
Euro area (20 countries),2017,17495.141248
Euro area (20 countries),2016,17183.405048
Euro area (20 countries),2015,16831.580949
Euro area (20 countries),2014,16531.912221
Euro area (20 countries),2013,16252.917845
Euro area (20 countries),2012,16072.907857
Euro area (20 countries),1996,11569.447948
Euro area (20 countries),1995,11243.926952
Euro area (20 countries),2009,15248.863478
Euro area (20 countries),2008,14901.557842
Euro area (20 countries),2007,14580.995254
Euro area (20 countries),2006,14297.136077
Euro area (20 countries),2005,14017.508229
Euro area (20 countries),2004,13713.672637
Euro area (20 countries),2003,13423.494231
Euro area (20 countries),2002,13148.611733
Euro area (20 countries),2011,15877.091339
Euro area (20 countries),2010,15590.395975
Euro area (20 countries),1998,12124.91719
Euro area (20 countries),1997,11834.337872

